train_domain,config_id,candidate_order,kernel_size,dropout,learning_rate,validation_macro_f1_mean,validation_macro_f1_std,validation_spam_f1_mean,validation_balanced_accuracy_mean,validation_mcc_mean,validation_pr_auc_mean,best_validation_loss_mean,epochs_trained_mean,training_seconds_mean,n_seeds,selected,source_notebook
enron,dropout_0_5,2,5,0.5,0.001,0.9920970913397542,0.0008981247816418198,0.9917959039729292,0.9920738815178641,0.9841990155077301,0.9996807912842084,0.022830390681823094,4.0,21.355584617666693,3,False,https://www.kaggle.com/code/kaloyanbozukov/notebook3
enron,kernel_3,1,3,0.4,0.001,0.992887168765419,7.889882623949883e-07,0.9926132521552816,0.9928463929523129,0.9857795475435891,0.9996046911324342,0.020221944898366928,4.333333333333333,22.31262650866667,3,True,https://www.kaggle.com/code/kaloyanbozukov/notebook3
enron,lr_5e_4,3,5,0.4,0.0005,0.9922545389490098,0.0011943389906824413,0.9919514195534709,0.9921964596181865,0.9845171034081996,0.9996572058002794,0.022358978167176247,4.333333333333333,22.97984998066674,3,False,https://www.kaggle.com/code/kaloyanbozukov/notebook3
enron,reference,0,5,0.4,0.001,0.9921764733176862,0.0011846621233344169,0.9918829143409188,0.9921676859432328,0.9843558082676219,0.9996298073644346,0.022793877869844437,4.0,21.466677378666663,3,False,https://www.kaggle.com/code/kaloyanbozukov/notebook3
sms,dropout_0_5,2,5,0.5,0.001,0.9672609457047723,0.0027316319733583683,0.9426327514093472,0.9624353449369819,0.9347592052634613,0.9829750617590057,0.045502586911122,5.333333333333333,5.380532343666649,3,False,https://www.kaggle.com/code/kaloyanbozukov/notebook3
sms,kernel_3,1,3,0.4,0.001,0.9696050731452064,0.0013874822067894562,0.9468442371541043,0.9702878577918551,0.9392808463778067,0.9887109067000583,0.03531423335274061,7.0,6.16878476466665,3,True,https://www.kaggle.com/code/kaloyanbozukov/notebook3
sms,lr_5e_4,3,5,0.4,0.0005,0.9684973068925952,0.0030721572348262442,0.9448696145124716,0.9670976158207577,0.9370610698340057,0.9820926353515901,0.04645886148015658,7.0,6.377206587999997,3,False,https://www.kaggle.com/code/kaloyanbozukov/notebook3
sms,reference,0,5,0.4,0.001,0.9683114234319112,0.004306553374070086,0.944490231990232,0.9641535579954011,0.9367955155001054,0.9813354784277766,0.047461844980716705,5.666666666666667,7.550210250999991,3,False,https://www.kaggle.com/code/kaloyanbozukov/notebook3
