model,model_name,model_revision,prompt_id,prompt_sha256,training_seed,train_domain,test_domain,setting,test_rows,accuracy,precision,recall,f1,macro_f1,balanced_accuracy,mcc,roc_auc,pr_auc,predicted_spam_rate,brier_score,log_loss,ece,tn,fp,fn,tp,support,ham_support,spam_support,f1_ci_low,f1_ci_high,f1_bootstrap_standard_error,bootstrap_repetitions,bootstrap_seed,ham_target_tokens,spam_target_tokens,label_score_normalization,mean_input_tokens,max_input_tokens,truncated_rows,truncation_rate,inference_seconds,rows_per_second,max_length,batch_size,parameters,device,gpu_name,source_notebook,audit_rows,valid_generation_rows,generation_compliance_rate,generation_exact_accuracy_all_rows,generation_accuracy_valid_only,likelihood_generation_agreement_valid_only,generation_seconds,peak_gpu_memory_gb
FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,ea9687678354d9ec089a7d2a1ec42ce18179c80d03d00323bf8db922d55f0093,,none,sms,zero-shot,774,0.8682170542635659,0.125,0.010416666666666666,0.019230769230769232,0.47429682505859794,0.5000460914454278,0.0003004286931414074,0.6804941002949854,0.1876374401341381,0.0103359173126615,0.11093594746343154,0.3663481224821922,0.04750177670030879,671,7,95,1,774,678,96,0.0,0.058823529411764705,0.01907821261337099,2000,20260821,3,2,mean_token_log_probability_including_eos,82.98708010335918,243,0,0.0,7.228795187999992,107.07178442195489,512,8,247577856,cuda:0,Tesla T4,notebooks/05_zero_shot_generative.ipynb,50,49,0.98,0.48,0.4897959183673469,1.0,0.8200749879999876,0.9113664627075195
FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,ea9687678354d9ec089a7d2a1ec42ce18179c80d03d00323bf8db922d55f0093,,none,enron,zero-shot,1981,0.5143866733972741,0.9696969696969697,0.032225579053373615,0.06237816764132553,0.3673607459460034,0.5156067166521928,0.12193915792959369,0.6605703487163179,0.6634389952603625,0.016658253407370014,0.38052617473980066,1.2982698575360467,0.3856052345544981,987,1,961,32,1981,988,993,0.04142011834319527,0.08453613389492351,0.010534714841190755,2000,20260821,3,2,mean_token_log_probability_including_eos,538.2816759212519,32974,581,0.29328621908127206,50.69822946099998,39.0743428530162,512,8,247577856,cuda:0,Tesla T4,notebooks/05_zero_shot_generative.ipynb,50,34,0.68,0.2,0.29411764705882354,1.0,1.726516819999972,0.9113664627075195
