model,config_id,train_domain,test_domain,setting,accuracy_mean,accuracy_std,accuracy_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,macro_f1_mean,macro_f1_std,macro_f1_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,mcc_mean,mcc_std,mcc_count,roc_auc_mean,roc_auc_std,roc_auc_count,pr_auc_mean,pr_auc_std,pr_auc_count,source_notebook
TextCNN,kernel_3,enron,enron,in-domain,0.9919232710752146,0.0017847218101629627,5,0.9919492554547167,0.002924031909614158,5,0.9919436052366566,0.001007049345417954,5,0.9919451179777381,0.0017739199104265958,5,0.9919232033629862,0.001784758447900182,5,0.9919232196223768,0.001787436864074789,5,0.9838490397876919,0.003572530609049441,5,0.9997406949863621,9.151018009822859e-05,5,0.9997399504563542,9.502906840152854e-05,5,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,enron,sms,cross-domain,0.36770025839793286,0.015000439559379842,5,0.1586590349911839,0.002420519049823092,5,0.9520833333333334,0.015797657175107414,5,0.2719769566340592,0.003542232226507752,5,0.35644895107110647,0.012256986796079027,5,0.6185195427728614,0.0065667451388454635,5,0.17927124086410318,0.008591077464187243,5,0.7780696902654867,0.019035708835749152,5,0.36455247225647935,0.038045247099586635,5,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,sms,enron,cross-domain,0.5373043917213528,0.014908998144678083,5,0.5415980288971289,0.01865127724358654,5,0.5250755287009063,0.12190206496461921,5,0.5260931753460635,0.0651512291537313,5,0.5316681232927147,0.017884391125196995,5,0.5373353352006556,0.014899116042964771,5,0.07645425171439973,0.029528119669886523,5,0.549701554606945,0.015787687307326825,5,0.5431884476259463,0.008696635541737566,5,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,sms,sms,in-domain,0.979328165374677,0.001291989664082634,5,0.9390270243257266,0.016220091905492357,5,0.8916666666666666,0.017430417219459867,5,0.9145092092219269,0.005574690241514573,5,0.9513756829961402,0.0031390112247463692,5,0.9417035398230087,0.007733644607480937,5,0.9032962469828488,0.0060599838843342635,5,0.9886768682399213,0.001877216799443151,5,0.9676246691180582,0.004157816973749133,5,https://www.kaggle.com/code/kaloyanbozukov/notebook3
